Node,Degree_Rank,Degree_Value,Betweenness_Rank,Betweenness_Value,Closeness_Rank,Closeness_Value,PageRank_Rank,PageRank_Value
0,5,0.0723,6,0.147668,11,0.3337,3,0.006326
58,3263,0.0017,8,0.076795,111,0.3095,2871,0.000151
107,1,0.2120,1,0.565183,1,0.4300,2,0.007052
348,22,0.0428,16,0.037277,14,0.3282,8,0.002150
414,158,0.0327,12,0.048917,12,0.3294,9,0.001725
428,320,0.0250,9,0.059346,3,0.3487,16,0.000843
686,144,0.0337,17,0.031384,3700,0.1852,7,0.002238
698,778,0.0141,7,0.095728,2941,0.2237,10,0.001399
1085,933,0.0121,3,0.259966,6,0.3402,127,0.000549
1165,1814,0.0059,26,0.010610,8,0.3389,1443,0.000267
1465,401,0.0223,15,0.037395,9,0.3373,611,0.000366
1534,1594,0.0069,28,0.007973,4,0.3408,1214,0.000288
1577,159,0.0327,10,0.055655,5,0.3406,157,0.000517
1684,2,0.1568,2,0.303756,2,0.3556,4,0.006271
1687,1170,0.0099,36,0.005513,10,0.3368,285,0.000449
1718,181,0.0315,11,0.051919,7,0.3392,126,0.000550
1888,8,0.0515,253,0.000420,118,0.3071,27,0.000735
1912,3,0.1476,5,0.196770,105,0.3147,5,0.003777
1985,10,0.0471,236,0.000463,2402,0.2441,247,0.000462
2266,9,0.0475,535,0.000219,2940,0.2241,244,0.000463
2347,7,0.0565,32,0.006913,1113,0.2658,80,0.000604
2543,6,0.0602,33,0.006497,950,0.2730,43,0.000688
3437,4,0.1134,4,0.232270,883,0.2802,1,0.007725
3980,848,0.0131,20,0.025801,3585,0.2088,6,0.002345
